Nom du Restaurant,Ville,Catégorie,Note Google,Nombre d'Avis,Possède un Site Web,Site Web URL,Score de Complétude Profil (sur 10),Google Maps CID
"Café de Paris Monte-Carlo","Monaco","Restaurant",4.1,4,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/le-cafe-de-paris",5,"5357003963339220412"
"Chez Les Grecs","Monaco","Grecque",4.9,391,"Oui","http://www.chezlesgrecs.com/",7,"17695340287953787770"
"R - La Table d'Antonio Salvatore","Monaco","Cuisine gastronomique",4.6,54,"Oui","https://rampoldi.mc/la-table-dantonio-salvatore/",8,"17930756242935482650"
"Pavyllon Monte-Carlo, un restaurant de Yannick Alléno","Monaco","Cuisine gastronomique",4.6,340,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/pavyllon-monte-carlo-restaurant-yannick-alleno",8,"18017071706079587041"
"Blue Bay Marcel Ravin","Monaco","Cuisine gastronomique",4.6,315,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/blue-bay-marcel-ravin",7,"10579475863780553851"
"Le Grill","Monaco","Cuisine gastronomique",4.7,555,"Oui","https://www.montecarlosbm.com/fr/restaurant-monaco/le-grill",7,"17350570656598732343"
"Restaurant La Table d'Elise Monaco","Monaco","Méditerranéenne",4.3,314,"Oui","https://www.latabledelise.mc/restaurant/",8,"14623689714501575653"
"Private Chef Côte d’Azur : Traiteur Luxe & Tradition de la Région","Monaco","Service de cuisinier à domicile",5,78,"Oui","https://privatechefmonaco.com/",7,"6525137013324539282"
"Robuchon Monaco","Monaco","Restaurant",4.9,27,"Oui","https://robuchonmonaco.com/robuchon-monaco/",6,"10894614793249377719"
"Bella Vita","Monaco","Italienne",4.2,2,"Oui","http://www.bellavita.mc/",6,"5200038319917578254"
"Reginèlla","Monaco","Italienne",4.7,526,"Oui","http://www.lareginellamc.com/",7,"16974955827227040713"
"Il Giardino Monte-Carlo","Monaco","Restaurant",4.6,466,"Oui","https://www.ilgiardinomontecarlo.com/",8,"4256461613601612832"
"Ristorante Pizzeria Sorrento Monaco","Monaco","Restaurant",4.4,58,"Non","",6,"66167362720929815"
"La Chamade Lab","Monaco","Pizza",4.9,814,"Non","",6,"3690593762602210764"
"Maya Mia","Monaco","Italienne",4.4,1,"Oui","https://www.mayamia.mc/",6,"9813789870110477779"
"Crazy Pizza Monte Carlo","Monaco","Pizza",4.2,1,"Oui","https://crazypizza.com/monte-carlo/",6,"12512490173117263544"
"Norma","Monaco","Italienne",4.5,428,"Oui","https://norma-monaco.com/",7,"4922392750752696476"
"Brasserie de Monaco","Monaco","Microbrasserie",4.1,2,"Oui","http://www.brasseriedemonaco.com/",5,"7547452235297415175"
"La Trattoria","Menton","Italienne",4.6,3,"Oui","https://www.latrattoria-menton.fr/en/",6,"9268545235651516859"
"Mont Goût","Menton","Restaurant",4.9,499,"Oui","https://www.instagram.com/montgout/",8,"5096585806181505931"
"Les Cotes de Menton","Menton","Restaurant",4.8,244,"Oui","https://www.lescotesdementon.com/",8,"5337310383749167970"
