nom_restaurant,ville,categorie,note_google,nombre_avis,possede_site_web,url_site_web,score_completude_profil,google_maps_cid
Restaurant le K,Mandelieu-la-Napoule,Restaurant,4.4,201,true,https://www.restaurant-le-k-mandelieu.fr/,8,3889924202534296850
Pizza Popi,Mandelieu-la-Napoule,Pizza,4.4,170,true,http://www.pizzapopi.com/,8,12768954716213226022
Pépite,Mandelieu-la-Napoule,Française,4.3,2,true,https://www.pepite-restaurant.com/,5,1018940726526196010
SANTINO'S - Food & Mood,Mandelieu-la-Napoule,Bar à tapas,4.3,96,true,https://www.santinos.fr/,7,17765007705065025296
Brasserie du Soleil,Mandelieu-la-Napoule,Bar,4.3,78,false,,7,11621020654282948612
La Brocherie Mandelieu,Mandelieu-la-Napoule,Fruits de mer,4.2,1,true,http://la-brocherie.fr/,6,11533070488934136214
La Corderie,Mandelieu-la-Napoule,Brasserie,4.2,1,true,https://brasserielacorderie.fr/,5,4180773647372891365
Le Saint Charles,Mandelieu-la-Napoule,Restaurant,4,987,true,https://www.facebook.com/brasserielesaintcharles06/timeline,8,17812434466729244834
LA MENTOUNASC,Menton,Microbrasserie,5,82,true,https://www.lamentounasc.fr/,8,7292479447973136808
Chez Mimi (Specialités Locales),Menton,Brasserie,5,1,false,,5,3439236903566507584
Mont Goût,Menton,Restaurant,4.9,499,true,https://www.instagram.com/montgout,8,5096585806181505931
Les Croc's,Menton,Restaurant,4.9,375,false,,7,10455997804545162305
Il faró - Pizzeria,Menton,Italienne,4.9,61,false,,7,8640639638461488508
Salentoexpress,Menton,Pizza,4.9,161,false,,7,16672720760429328564
Les Cotes de Menton,Menton,Restaurant,4.8,244,true,https://www.lescotesdementon.com/,8,5337310383749167970
Lyode,Menton,Fruits de mer,4.8,230,true,https://www.instagram.com/lyode_restaurant,8,13532556144078870268
PIZZA e BASTA,Menton,Italienne,4.8,189,true,https://pizzaebastamenton.com/,8,9320584036607528411
Pizz’Addict,Menton,Pizza,4.8,315,false,,7,14810050658708060771
L'ENVOL Pizzeria,Menton,Pizza,4.8,109,false,,7,13168519065337258035
L'AVENUE,Menton,Restaurant,4.7,733,false,,7,1864236121802554317
L’Orangerie-restaurant Menton,Menton,Française,4.7,827,true,https://www.orangeriementon.fr/,8,14167124876616801864
Fleur de Mozza - Pizzeria Menton,Menton,Pizza,4.7,319,false,,7,3136570156732592579
Da Franci,Menton,Pizza,4.7,268,false,,7,2402293320998114075
La Trattoria,Menton,Italienne,4.6,3,true,https://www.latrattoria-menton.fr/en,6,9268545235651516859
L'Entre II,Menton,Restaurant,4.6,249,false,,7,2784701408540845732
Pizzeria 430gradi,Menton,Pizza,4.6,576,true,https://instagram.com/pizzeria430gradi,8,5173883789867128868
Bar Brasserie Rino,Menton,Restaurant,4.6,352,true,https://menusa.app/11eeaeff4a766ebdb12b1e1dfb1f9b27,8,4424138442711016526
Le 31,Menton,Restaurant,4.5,718,true,https://bonsrestaurants.fr/restaurants/le-31-menton,8,6630348991880797808
Restaurant Mirazur,Menton,Gastronomie française,4.4,1,true,http://www.mirazur.fr/,6,10881577327455334296
Le Stanley,Menton,Restaurant,4.4,2,true,https://www.stanley-menton.fr/,6,7111743436001969443
Al Vecchio Forno,Menton,Pizza,4.4,1,true,https://cinque-valli.com/listing/al-vecchio-forno,6,7360252188411899053
L'Endroit,Menton,Restaurant,4.4,393,true,http://lendroit-menton.fr/,8,2112440265353230243
La PecoraNegra Menton,Menton,Pizza,4.3,869,true,http://www.pecoranegra.fr/,7,8420388479111571923
Brasserie Le Clémenceau,Menton,Brasserie,4.3,322,false,,7,1712752305160806531
Les Incompris,Menton,Méditerranéenne,3.9,1,true,http://www.lesincompris.com/,5,1931179133701846169
Brasserie du cap,Menton,Brasserie,3.8,903,false,,6,5242439904591054658
Private Chef Côte d’Azur : Traiteur Luxe & Tradition de la Région,Monaco,Service de cuisinier à domicile,5,78,true,https://privatechefmonaco.com/,7,6525137013324539282
Chez Pierre - French Restaurant in Monaco with Bar,Monaco,Française,4.9,568,true,https://chezpierre.mc/,7,7417235480731680803
Chez Les Grecs,Monaco,Grecque,4.9,391,true,http://www.chezlesgrecs.com/,7,17695340287953787770
Robuchon Monaco,Monaco,Restaurant,4.9,27,true,https://robuchonmonaco.com/robuchon-monaco,6,10894614793249377719
La Chamade Lab,Monaco,Pizza,4.9,814,false,,6,3690593762602210764
Les Perles de Monte-Carlo,Monaco,Fruits de mer,4.8,756,false,,6,9058716589738505411
La Môme Monte-Carlo,Monaco,Restaurant,4.7,1,true,https://lamomemontecarlo.com/,5,14494629078830784097
Caffè Milano,Monaco,Restaurant,4.7,3,true,https://www.caffemilano.mc/,6,17003971645630163726
Zeffirino Monaco,Monaco,Italienne,4.7,372,true,https://zeffirino-restaurant.com/monaco,7,11072659069838734051
Le Grill,Monaco,Cuisine gastronomique,4.7,555,true,https://www.montecarlosbm.com/fr/restaurant-monaco/le-grill,7,17350570656598732343
Reginèlla,Monaco,Italienne,4.7,526,true,http://www.lareginellamc.com/,7,16974955827227040713
Giacomo,Monaco,Italienne,4.6,2,true,https://www.bigmammagroup.com/fr/restaurants-italiens/giacomo,6,12734224243589245711
R - La Table d'Antonio Salvatore,Monaco,Cuisine gastronomique,4.6,54,true,https://rampoldi.mc/la-table-dantonio-salvatore,8,17930756242935482650
"Pavyllon Monte-Carlo, un restaurant de Yannick Alléno",Monaco,Cuisine gastronomique,4.6,340,true,https://www.montecarlosbm.com/fr/restaurant-monaco/pavyllon-monte-carlo-restaurant-yannick-alleno,8,18017071706079587041
Blue Bay Marcel Ravin,Monaco,Cuisine gastronomique,4.6,315,true,https://www.montecarlosbm.com/fr/restaurant-monaco/blue-bay-marcel-ravin,7,10579475863780553851
Il Giardino Monte-Carlo,Monaco,Restaurant,4.6,466,true,https://www.ilgiardinomontecarlo.com/,8,4256461613601612832
Buddha-Bar Monte-Carlo,Monaco,Restaurant,4.5,2,true,https://www.montecarlosbm.com/fr/restaurant-monaco/buddha-bar-monte-carlo,5,8806547753368085528
La Note Bleue,Monaco,Restaurant,4.5,1,true,http://lanotebleue.mc/,5,2970254160614618866
Norma,Monaco,Italienne,4.5,428,true,https://norma-monaco.com/,7,4922392750752696476
Ristorante Pizzeria Sorrento Monaco,Monaco,Restaurant,4.4,58,false,,6,66167362720929815
Maya Mia,Monaco,Italienne,4.4,1,true,https://www.mayamia.mc/,6,9813789870110477779
Restaurant La Table d'Elise Monaco,Monaco,Méditerranéenne,4.3,314,true,https://www.latabledelise.mc/restaurant,8,14623689714501575653
Bella Vita,Monaco,Italienne,4.2,2,true,http://www.bellavita.mc/,6,5200038319917578254
Crazy Pizza Monte Carlo,Monaco,Pizza,4.2,1,true,https://crazypizza.com/monte-carlo,6,12512490173117263544
Café de Paris Monte-Carlo,Monaco,Restaurant,4.1,4,true,https://www.montecarlosbm.com/fr/restaurant-monaco/le-cafe-de-paris,5,5357003963339220412
Brasserie de Monaco,Monaco,Microbrasserie,4.1,2,true,http://www.brasseriedemonaco.com/,5,7547452235297415175
L'Alchimie restaurant Nice,Nice,Méditerranéenne,4.9,1,true,http://www.lalchimie-restaurant.com/,6,12795282804288500758
Le Bouchon,Nice,Française,4.9,1,true,https://www.lebouchonnice.fr/,6,11166467869400105867
Prima Volta,Nice,Pizza,4.9,2,true,https://primavoltanice.fr/,6,7380318581373429246
Pizzeria bella napoli,Nice,Pizza,4.9,356,true,https://pizzeria-bellanapolinice.fr/,8,12829126836468936151
Les Amoureux,Nice,Pizza,4.9,3,true,https://lesamoureuxpizzeria.com/,6,1904803025935616292
Doma pizza,Nice,Pizza,4.9,1,true,https://www.domapizza.fr/,6,9586014079270883393
